Circuit,Grands Prix,CircuitID,TypeRefID,DirectionRefID,Last length used,Grands Prix held
,,,,,,
Adelaide Street Circuit,Australian Grand Prix,1,1,1,3.78,11
Ain-Diab Circuit,Moroccan Grand Prix,2,2,1,7.618,1
Aintree Motor Racing Circuit,British Grand Prix,3,2,1,4.828,5
Albert Park Circuit,Australian Grand Prix,4,1,1,5.303,24
Algarve International Circuit ,Portuguese Grand Prix,5,4,1,4.653,2
Autódromo do Estoril,Portuguese Grand Prix,6,4,1,4.36,13
Autódromo Hermanos Rodríguez ,"Mexican Grand Prix,Mexico City Grand Prix",7,4,1,4.304,21
Autódromo Internacional Nelson Piquet,Brazilian Grand Prix,8,4,2,5.031,10
Autodromo Internazionale del Mugello,Tuscan Grand Prix,9,4,1,5.245,1
Autodromo Internazionale Enzo e Dino Ferrari ,"Italian Grand Prix, San Marino Grand Prix, Emilia Romagna Grand Prix",10,4,2,4.909,29
Autodromo Josè Carlos Pace ,"Brazilian Grand Prix, São Paulo Grand Prix",11,4,2,4.309,37
Autodromo Nazionale di Monza ,Italian Grand Prix,12,4,1,5.793,71
Autódromo Oscar y Juan Gálvez,Argentine Grand Prix,13,4,1,4.259,20
AVUS,German Grand Prix,14,2,2,8.3,1
Bahrain International Circuit ,"Bahrain Grand Prix, Sakhir Grand Prix",15,4,1,5.412,18
Baku City Circuit ,"European Grand Prix,Azerbaijan Grand Prix",16,1,2,6.003,5
Brands Hatch,"British Grand Prix, European Grand Prix",17,4,1,3.703,14
Buddh International Circuit,Indian Grand Prix,18,4,1,5.141,3
Bugatti Circuit,French Grand Prix,19,4,1,4.43,1
Caesars Palace Grand Prix Circuit,Caesars Palace Grand Prix,20,1,2,3.65,2
Charade Circuit,French Grand Prix,21,2,1,8.055,4
Circuit Bremgarten,Swiss Grand Prix,22,2,1,7.208,5
Circuit de Barcelona-Catalunya ,Spanish Grand Prix,23,4,1,4.675,31
Circuit de Monaco ,Monaco Grand Prix,24,1,1,3.337,67
Circuit de Nevers Magny-Cours,French Grand Prix,25,4,1,4.411,18
Circuit de Spa-Francorchamps ,Belgian Grand Prix,26,4,1,7.004,54
Circuit Gilles Villeneuve,Canadian Grand Prix,27,1,1,4.361,40
Circuit Mont-Tremblant,Canadian Grand Prix,28,4,1,4.265,2
Circuit of the Americas ,United States Grand Prix,29,4,2,5.513,9
Circuit Paul Ricard ,French Grand Prix,30,4,1,5.842,17
Circuit Zandvoort ,Dutch Grand Prix,31,4,1,4.259,31
Circuit Zolder,Belgian Grand Prix,32,4,1,4.262,10
Circuito da Boavista,Portuguese Grand Prix,33,1,2,7.775,2
Circuito de Jerez,"Spanish Grand Prix, European Grand Prix",34,4,1,4.428,7
Circuito de Monsanto,Portuguese Grand Prix,35,1,1,5.44,1
Circuito del Jarama,Spanish Grand Prix,36,4,1,3.404,9
Dallas Grand Prix Circuit,Dallas Grand Prix,37,1,2,3.901,1
Detroit street circuit,Detroit Grand Prix,38,1,2,4.168,7
Dijon-Prenois,"French Grand Prix,Swiss Grand Prix",39,4,1,3.886,6
Donington Park,European Grand Prix,40,4,1,4.02,1
Fuji Speedway,Japanese Grand Prix,41,4,1,4.563,4
Hockenheimring,German Grand Prix,42,4,1,4.574,37
Hungaroring ,Hungarian Grand Prix,43,4,1,4.381,36
Igora Drive,Russian Grand Prix,44,4,2,4.086,0
Indianapolis Motor Speedway,"Indianapolis 500,United States Grand Prix",45,4,1,4.192,19
Intercity Istanbul Park ,Turkish Grand Prix,46,4,2,5.338,9
Jeddah Corniche Circuit ,Saudi Arabian Grand Prix,47,1,2,6.174,0
Korea International Circuit,Korean Grand Prix,48,4,2,5.615,4
Kyalami Racing Circuit,South African Grand Prix,49,4,2,4.2,20
Long Beach Street Circuit,United States Grand Prix West,50,1,1,3.275,8
Losail International Circuit ,Qatar Grand Prix,51,4,1,5.38,0
Marina Bay Street Circuit *,Singapore Grand Prix,52,1,2,5.063,12
Miami International Autodrome *,Miami Grand Prix,53,2,2,5.41,0
Montjuïc circuit,Spanish Grand Prix,54,1,2,3.791,4
Mosport International Raceway,Canadian Grand Prix,55,4,1,3.957,8
Nivelles-Baulers,Belgian Grand Prix,56,4,1,3.724,2
Nürburgring,"German Grand Prix, European Grand Prix, Luxembourg Grand Prix, Eifel Grand Prix",57,4,1,5.148,41
Pedralbes Circuit,Spanish Grand Prix,58,1,1,6.316,2
Pescara Circuit,Pescara Grand Prix,59,2,1,25.8,1
Phoenix street circuit,United States Grand Prix,60,1,2,3.72,3
Prince George Circuit,South African Grand Prix,61,4,1,3.92,3
Red Bull Ring ,"Austrian Grand Prix, Styrian Grand Prix",62,4,1,4.318,35
Reims-Gueux,French Grand Prix,63,2,1,8.302,11
Riverside International Raceway,United States Grand Prix,64,4,1,5.271,1
Rouen-Les-Essarts,French Grand Prix,65,2,1,6.542,5
Scandinavian Raceway,Swedish Grand Prix,66,4,1,4.031,6
Sebring International Raceway,United States Grand Prix,67,2,1,8.356,1
Sepang International Circuit,Malaysian Grand Prix,68,4,1,5.543,19
Shanghai International Circuit *,Chinese Grand Prix,69,4,1,5.451,16
Silverstone Circuit ,"British Grand Prix, 70th Anniversary Grand PrixEuropean Grand Prix",70,4,1,5.891,56
Sochi Autodrom ,Russian Grand Prix,71,4,1,5.848,8
Suzuka International Racing Course *,Japanese Grand Prix,72,4,3,5.807,31
TI Circuit Aida,Pacific Grand Prix,73,4,1,3.703,2
Valencia Street Circuit,European Grand Prix,74,1,1,5.419,5
Watkins Glen,United States Grand Prix,75,4,1,5.43,20
Yas Marina Circuit ,Abu Dhabi Grand Prix,76,4,2,5.281,12
Zeltweg Airfield,Austrian Grand Prix,77,2,1,3.186,1
Melbourne Grand Prix Circuit,Australian Grand Prix,78,1,1,5.303,24
