Constructor,ConstructorID,NationalityID
Alex von Falkenhausen Motorenbau,1,1
Automobiles Gonfaronnaises Sportives,2,2
Alta,3,3
Amon,4,4
Andrea Moda,5,5
Apollon,6,6
Arrows,7,3
Arzani-Volpini,8,5
Aston Butterworth,9,3
Automobili Turismo e Sport,10,5
ATS (Auto Technisches Spezialzubehör),11,1
British American Racing,12,3
Behra-Porsche,13,1
Bellasi,14,6
Benetton,15,3
Boro,17,7
Brabham,18,3
Brawn GP,19,3
British Racing Motors,20,3
British Racing Partnership,21,3
Bugatti,22,2
Caterham,23,8
Cisitalia,24,5
Coloni,25,5
Connaught,26,3
Connew,27,3
Cooper Car Company,28,3
Dallara,29,5
Derrington-Francis,30,3
Peter de Klerk,31,9
De Tomaso,32,5
Eagle,33,10
Eifelland,34,1
Emeryson,35,3
Eisenacher Motorenwerk,36,11
Ecurie Nationale Belge,37,12
Ensign,38,3
English Racing Automobiles,39,3
EuroBrun,40,5
Ferguson Research Ltd.,42,3
FIRST,43,5
Fittipaldi Automotive (Copersucar),44,13
Fondmetal,45,5
Force India,46,14
Forti,47,5
Frank Williams Racing Cars,48,3
Frazer-Nash,49,3
Fry,50,3
Gilby Engineering,51,3
Gordini,52,2
Greifzu,53,11
Hesketh,54,3
Hill,55,3
HRT (Hispania Racing Team),56,15
Honda,57,16
HWM (Hersham and Walton Motors),59,3
Jaguar[q],60,3
JBW,61,3
Jordan,62,17
Kauhsen,63,1
Klenk,64,1
Kojima,65,16
Kurtis,66,10
Lambo (Modena Team),67,5
Lancia,68,5
Larrousse,69,2
LDS,70,9
LEC,71,3
Leyton House[s],72,3
Life,73,5
Ligier,74,2
Lola[u],75,3
Lotus,76,3
Lyncar,79,3
Maki,80,16
Manor,81,3
March,82,3
Martini,83,2
Marussia[w],84,18
Maserati,86,5
Matra,87,2
MBM,88,6
McGuire,89,19
Merzario,90,5
Midland[x],91,18
Milano,92,5
Minardi[y],93,5
Onyx,94,3
O.S.C.A.,95,5
Osella[z],96,5
Pacific,97,3
Parnelli,98,10
Penske,99,10
Porsche,100,1
Prost[aa],101,2
RAM,102,3
Force India,103,3
Racing Point,104,3
RE,105,20
Renault,106,2
Rebaque,109,21
Rial,110,1
Sauber,111,6
Scarab,113,10
Scirocco,114,3
Shadow,115,10
Shannon,117,3
Simca-Gordini,118,2
Simtek,119,3
Spirit,120,3
Spyker,121,7
Stebro,122,22
Stewart,123,3
Super Aguri,124,16
Surtees,125,3
SVA,126,5
Talbot-Lago,127,2
Tec-Mec,128,10
Tecno,129,5
Theodore,130,23
Token,131,3
Toleman,132,3
Toro Rosso,133,5
Toyota,134,16
Trojan,135,3
Tyrrell,136,3
Vanwall,137,3
Venturi,138,2
Veritas,139,1
Virgin,140,3
Wolf,142,22
Zakspeed,143,1
Alfa Romeo,144,6
AlphaTauri,145,5
Alpine,146,2
Aston Martin,147,3
Ferrari,148,5
Haas,149,10
McLaren,150,3
Mercedes,151,1
Red Bull,152,36
Williams,153,3
Epperly,154,57
Lesovsky,155,57
Watson,156,57
