Country,CountryID
Italy,1
United Kingdom,2
Belgium,3
United States,4
West Germany,5
Netherlands,6
Thailand,7
France,8
Spain,9
New Zealand,10
Sweden,11
Portugal,12
Brazil,13
Germany,14
West Germany,15
East Germany,16
Hungary,17
Denmark,18
Monaco,19
Canada,20
Austria,21
Argentina,22
South Africa,23
Finland,24
Australia,25
Switzerland,26
Ireland,27
Uruguay,28
Venezuela,29
India,30
Netherlands,31
Monaco,32
Czech Republic,33
East Germany,34
Japan,35
France,36
Belgium,37
Colombia,38
Mexico,39
Indonesia,40
Rhodesia and Nyasaland,41
Poland,42
Russia,43
Morocco,44
Rhodesia,45
RAF,46
Liechtenstein,47
Chile,48
Argentina[50],49
Malaysia,50
China,51
