DriverID,SeasonRefID
7241,1
4071,1
14172,1
13144,1
4488,1
7802,1
4552,1
9275,1
26019,1
2379,1
8262,1
5159,1
5562,1
4302,1
4678,1
10020,1
3491,1
2435,1
2217,1
2217,2
7241,1
7241,2
2659,1
2659,2
8976,1
8976,2
7213,1
7213,2
5736,1
5736,2
9275,1
9275,2
35102,1
35102,2
15609,1
15609,2
15705,1
15705,2
2338,1
2338,2
4105,1
4105,2
17064,1
17064,2
3903,1
3903,2
17329,1
17329,2
17329,4
17329,5
17329,7
17329,8
9525,1
9525,2
9525,4
9525,5
9525,6
7241,1
7241,2
7241,4
7241,5
7241,6
#N/A,1
#N/A,2
#N/A,4
#N/A,5
#N/A,6
#N/A,7
#N/A,8
#N/A,9
32754,1
32754,2
32754,4
32754,6
32754,7
32754,9
4849,1
4849,2
4849,4
4849,7
14303,1
14303,2
14303,6
12039,1
12039,2
12039,3
12446,1
12446,2
12446,3
19932,1
19932,2
19932,3
23553,1
23553,2
23553,3
26019,1
26019,2
26019,3
23124,1
23124,2
23124,3
21450,1
21450,2
21450,3
13144,1
13144,2
13144,3
4201,1
4201,2
4201,3
4201,5
9717,1
9717,2
9717,3
9717,5
9717,6
9717,7
1256,1
1256,2
1256,3
1256,4
1743,1
1743,2
1743,3
1743,4
23553,1
23553,2
23553,3
23553,4
23553,6
0,1
0,2
0,3
0,4
14303,1
14303,2
14303,3
14303,4
14303,5
5252,1
5252,2
5252,3
5252,4
5252,5
5252,7
#N/A,1
#N/A,2
#N/A,3
#N/A,4
#N/A,5
#N/A,6
#N/A,1
#N/A,2
#N/A,3
#N/A,4
#N/A,5
#N/A,6
9589,1
9589,2
9589,3
9589,4
9589,5
9589,6
4874,1
4874,2
4874,3
4874,4
4874,5
4874,6
4874,10
4874,11
31023,1
31023,2
31023,3
31023,4
31023,5
31023,6
31023,7
0,1
0,2
0,3
0,4
0,5
0,6
0,7
8976,1
8976,2
8976,3
8976,4
8976,5
8976,6
8976,7
11765,1
11765,2
11765,3
11765,4
11765,5
11765,6
11765,7
11765,8
16218,1
16218,2
16218,3
16218,4
16218,5
16218,6
16218,7
16218,8
8314,1
8314,2
8314,3
8314,4
8314,5
8314,6
8314,7
8314,8
8314,11
6760,1
6760,2
6760,3
6760,4
6760,5
6760,6
6760,7
6760,8
6760,2
11028,1
11028,2
11028,3
11028,4
11028,5
11028,6
11028,7
11028,8
11028,9
11028,11
15730,1
15730,2
15730,3
15730,4
15730,5
15730,6
15730,7
15730,8
15730,9
15730,10
15730,11
23124,1
23124,2
23124,3
23124,4
23124,5
23124,6
23124,7
23124,8
23124,9
23124,10
23124,11
7851,1
7851,2
7851,3
7851,4
7851,5
7851,6
7851,7
7851,8
7851,9
7851,10
7851,11
6513,1
6513,2
6513,3
6513,4
6513,5
6513,6
6513,7
6513,8
6513,9
6513,10
6513,11
6513,12
6513,13
6513,14
6513,15
21450,1
21450,3
0,1
0,3
0,4
0,5
9525,1
9525,3
9525,4
9525,5
9525,6
9525,7
9525,8
9525,9
9525,10
9525,11
17576,1
17576,3
17576,4
17576,5
17576,6
17576,7
17576,8
17576,9
17576,10
17576,11
13144,1
13144,3
15567,1
15567,4
12008,1
12008,4
12008,5
12008,6
9503,1
9503,4
9503,5
9503,6
9503,7
9503,10
15730,1
15730,4
15730,6
9525,1
9525,5
8772,1
8772,7
8772,9
8772,10
8772,11
5298,2
2822,2
7811,2
6832,2
16926,2
27657,2
6990,2
13144,2
6880,2
12446,2
12446,3
19369,2
19369,3
4493,2
4493,3
9275,2
9275,3
931,2
931,3
7310,2
7310,3
7310,6
7310,7
7310,8
11727,2
11727,3
11727,7
7426,2
7426,3
7426,4
14303,2
14303,3
14303,4
4849,2
4849,3
4849,4
17696,2
17696,3
17696,4
20854,2
20854,3
20854,4
20854,7
7964,2
7964,3
7964,4
7964,5
8734,2
8734,3
8734,4
8734,5
8734,11
13144,2
13144,3
13144,4
13144,5
13144,6
17296,2
17296,3
17296,4
17296,5
17296,6
17296,7
17296,8
7681,2
7681,3
7681,4
7681,5
7681,6
7681,7
7681,8
7681,9
7681,10
7681,11
7681,14
10853,2
10853,3
10853,4
10853,5
10853,6
10853,7
10853,8
10853,9
10853,10
10853,11
10853,12
5298,2
5298,4
8754,2
8754,4
8754,5
22370,2
22370,4
22370,5
26032,2
26032,4
26032,5
6854,2
6854,4
6854,5
6854,7
6854,12
6854,14
6854,15
7751,2
7751,5
7751,7
7751,8
7751,9
9525,2
9525,11
13144,3
3289,3
10320,3
15 October 1899,3
2469,3
16856,3
6880,3
9717,3
0,3
26849,3
15730,3
17696,3
8080,3
17565,3
7175,3
7851,3
15488,3
15823,3
31023,3
5373,3
7834,3
13964,3
17576,3
2646,3
22554,3
2217,3
10639,3
0,3
0,4
9717,3
9717,4
15730,3
15730,4
8080,3
8080,4
1239,3
1239,4
2646,3
2646,4
5561,3
5561,4
15914,3
15914,4
10020,3
10020,4
7570,3
7570,4
7570,6
17108,3
17108,4
17108,5
4882,3
4882,4
4882,5
17329,3
17329,4
17329,5
9811,3
9811,4
9811,5
9811,6
13204,3
13204,4
13204,5
13204,6
6880,3
6880,4
6880,5
6880,6
0,3
0,4
0,5
0,6
0,7
23124,3
23124,4
23124,5
23124,6
23124,7
17329,3
17329,4
17329,5
17329,6
17329,7
14303,3
14303,4
14303,5
14303,6
14303,7
14303,8
14303,9
#N/A,3
#N/A,4
#N/A,5
#N/A,6
#N/A,7
#N/A,8
#N/A,9
23539,3
23539,4
23539,5
23539,6
23539,7
23539,8
23539,9
23539,10
9525,3
9525,4
9525,5
9525,6
9525,7
9525,8
9525,9
9525,10
9525,11
24056,3
24056,4
24056,5
24056,6
24056,7
24056,8
24056,9
24056,10
24056,11
8168,3
8168,4
8168,5
8168,6
8168,7
8168,8
8168,9
8168,10
8168,11
8168,12
8168,13
22554,3
22554,5
12446,3
12446,5
9525,3
9525,5
9525,6
9525,7
9525,8
9525,9
14720,4
16926,4
4582,4
4882,4
19955,4
0,4
6275,4
1239,4
23553,4
10770,4
2981,4
8580,4
17401,4
9525,4
6832,4
6832,5
3384,4
3384,5
14065,4
14065,5
11765,4
11765,5
7724,4
7724,5
7724,8
10735,4
10735,5
10735,6
21592,4
21592,5
21592,6
5233,4
5233,5
5233,6
17696,4
17696,5
17696,6
17696,8
17696,9
17696,10
17696,11
17696,12
10384,4
10384,5
10384,6
10384,7
10384,8
9525,4
9525,5
9525,6
9525,7
9525,8
9525,10
8976,4
8976,5
8976,6
8976,7
8976,8
8976,9
15443,4
15443,5
15443,6
15443,7
15443,8
15443,9
15443,11
7459,4
7459,5
7459,6
7459,7
7459,8
7459,9
7459,10
7459,11
23553,4
23553,5
23553,6
23553,7
23553,8
23553,9
23553,10
23553,11
8773,4
8773,6
16926,4
16926,6
9589,4
9589,6
9589,7
9589,8
9589,9
9589,10
9589,11
9589,12
6236,4
6236,8
6236,9
6236,11
6236,12
6236,15
9682,4
9682,9
9682,11
9682,12
9682,13
11232,5
7459,5
18340,5
8557,5
9353,5
18331,5
17565,5
16926,5
21234,5
8262,5
13144,5
7553,5
7553,6
25192,5
25192,6
8262,5
8262,6
26032,5
26032,6
13144,5
13144,6
13144,11
9840,5
9840,6
9840,7
9840,8
9840,9
9503,5
9503,6
9503,7
9503,8
9503,9
6838,5
6838,6
6838,7
6838,8
6838,9
6838,11
6551,5
6551,7
6551,8
8568,5
8568,7
8568,8
8568,9
8568,10
8568,11
0,6
23539,6
22370,6
10533,6
13885,6
13885,7
0,6
0,7
16856,6
16856,7
11809,6
11809,7
11809,10
11241,6
11241,7
11241,8
11983,6
11983,7
11983,8
7959,6
7959,7
7959,8
7959,10
7959,11
24056,6
24056,7
24056,8
24056,11
8976,6
8976,7
8976,8
8976,9
7959,6
7959,7
7959,8
7959,9
7959,10
23553,6
23553,7
23553,8
23553,9
23553,10
23553,11
#N/A,6
#N/A,7
#N/A,8
#N/A,9
#N/A,10
#N/A,11
#N/A,12
#N/A,13
#N/A,14
#N/A,15
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,20
#N/A,21
8734,6
8734,8
8734,9
8734,10
7164,6
7164,9
7164,11
12264,7
0,7
0,7
9995,7
9717,7
10349,7
7656,7
7656,8
7401,7
7401,8
13757,7
13757,8
13757,10
13757,11
6760,7
6760,8
6760,8
9589,7
9589,8
9589,9
9589,10
17329,7
17329,8
17329,9
17329,10
17329,11
17329,7
17329,8
17329,9
17329,10
17329,11
15730,7
15730,8
15730,9
15730,10
15730,11
15730,12
28890,7
28890,8
28890,9
28890,10
28890,11
28890,12
9682,7
9682,8
9682,9
9682,10
9682,11
9682,12
19748,7
19748,8
19748,9
19748,10
19748,11
19748,12
19748,13
19748,14
19748,15
19748,16
19748,17
19748,18
19748,19
19748,20
19748,21
19748,22
23124,7
23124,8
23124,9
12168,7
12168,8
12168,9
10450,7
10450,8
10450,9
24352,7
24352,9
24352,10
24352,11
24352,12
7459,8
23124,8
10424,8
22370,8
10036,8
8772,8
8772,9
11068,8
11068,9
15730,8
15730,9
15730,12
8558,8
8558,9
8558,10
13144,8
13144,9
13144,10
22370,8
22370,9
22370,10
24056,8
24056,9
24056,10
24056,11
17064,8
17064,9
17064,10
17064,11
17064,12
11748,8
11748,9
11748,10
11748,11
11748,12
11748,13
11748,14
11748,16
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,8
12446,9
9811,9
18060,9
11259,9
30354,9
0,9
6880,9
13757,9
31023,9
0,9
0,9
8976,9
12008,9
9812,9
9812,10
8422,9
8422,10
8412,9
8412,10
0,9
0,10
8451,9
8451,10
8451,11
0,9
0,10
0,11
23124,9
23124,10
23124,11
17108,9
17108,10
17108,11
9353,9
9353,10
9353,11
11727,9
11727,10
11727,11
11727,12
17401,9
17401,10
17401,11
17401,12
17401,13
17401,14
#N/A,9
#N/A,10
#N/A,11
#N/A,12
#N/A,13
#N/A,14
#N/A,15
#N/A,17
13757,9
13757,10
13757,11
13757,12
13757,13
13757,14
13757,15
13757,16
13757,17
13757,18
13757,19
13757,20
13757,21
#N/A,9
#N/A,10
#N/A,11
#N/A,12
#N/A,13
#N/A,14
#N/A,15
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,20
#N/A,21
#N/A,22
#N/A,23
#N/A,24
#N/A,25
#N/A,26
9932,9
9932,11
8734,10
14303,10
7851,10
9972,10
20144,10
12446,10
12264,10
0,10
23539,10
13144,10
13964,10
17329,10
7834,10
10612,10
10612,11
7459,10
7459,11
15907,10
15907,11
19369,10
19369,11
17576,10
17576,11
26019,10
26019,11
22370,10
22370,11
0,10
0,11
0,13
0,15
9598,10
9598,11
9598,20
9598,21
9598,22
12039,10
12039,11
12039,12
13885,10
13885,11
13885,12
13885,13
12733,10
12733,11
12733,12
12733,13
12733,14
12733,16
12733,19
11121,10
11121,11
11121,12
11121,13
11121,14
11121,15
11121,16
11121,17
11426,10
11426,11
11426,12
11426,13
11426,14
11426,15
11426,16
11426,17
11426,18
11426,19
11426,21
13510,10
13510,12
13510,13
13510,14
13510,15
13510,17
15975,10
15975,12
15975,14
22370,10
22370,17
22370,18
21592,11
7826,11
9068,11
8734,11
17329,11
9717,11
11765,11
17576,11
10320,11
5561,11
13204,11
16856,11
7401,11
10322,11
12762,11
10239,11
10239,12
17576,11
17576,12
17576,13
17576,14
10502,11
10502,12
10502,13
10502,14
10502,16
11175,11
11175,12
11175,13
11175,14
11175,15
11175,16
11175,17
11175,18
#N/A,11
#N/A,12
#N/A,13
#N/A,14
#N/A,15
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,11
#N/A,12
#N/A,13
#N/A,14
#N/A,15
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,20
#N/A,21
#N/A,22
#N/A,23
12011,11
12011,13
12945,11
12945,17
10962,12
27657,12
18749,12
25206,12
6880,12
14303,12
12993,12
12139,12
14303,12
12026,12
13356,12
13356,13
15567,12
15567,13
17565,12
17565,13
27842,12
27842,13
12117,12
12117,13
12117,16
21592,12
21592,13
21592,14
19256,12
19256,13
19256,14
19256,15
10228,12
10228,13
10228,14
10228,15
15730,12
15730,13
15730,14
15730,15
15730,16
26678,12
26678,13
26678,14
26678,15
26678,16
26678,17
26678,18
13139,12
13139,13
13139,14
13139,15
13139,16
13139,17
13139,18
7241,12
7241,13
7241,14
7241,15
21592,12
21592,13
21592,14
21592,15
21592,16
9495,13
22370,13
22369,13
13757,13
13933,13
13493,13
12450,13
10983,13
10757,13
0,13
15730,13
10757,13
7458,13
10071,13
13881,13
13881,14
16926,13
13881,14
15730,13
15730,14
14065,13
14065,14
14065,16
7649,13
7649,14
7649,16
16926,13
16926,14
16926,15
16926,16
16926,18
16926,19
16926,20
16926,21
16926,22
16926,23
19748,13
19748,14
19748,15
19748,16
19748,17
19748,18
19748,19
19748,20
19748,21
19748,22
14148,13
14148,16
14303,14
11232,14
14720,14
16683,14
14065,14
14303,14
14303,15
14303,17
21789,14
21789,15
21789,16
17401,14
17401,15
17401,16
22370,14
22370,15
22370,15
22370,22
22370,23
22370,24
22370,25
17329,24
17329,15
17329,16
17329,17
17329,18
12345,14
12345,15
12345,16
12345,17
12345,18
12345,19
0,14
0,15
0,16
0,17
0,18
0,19
22370,14
22370,15
22370,16
22370,17
22370,18
22370,19
25988,14
22370,15
22370,16
22370,17
22370,18
22370,19
22370,20
22370,21
22370,22
15907,14
15907,15
15907,16
15907,17
15907,18
15907,19
15907,20
15907,21
15907,22
15907,23
15907,24
15907,25
15907,26
15907,27
13510,14
13510,16
14252,14
14252,16
26019,14
26019,16
16218,14
16218,15
16218,16
16218,18
16218,19
16218,20
14303,14
14303,16
14303,20
14303,21
12450,14
12450,20
12552,14
12552,25
0,15
16337,15
16337,16
16337,18
16337,19
16337,20
11232,15
11232,16
11232,19
16116,15
16116,16
16116,17
#N/A,15
#N/A,16
#N/A,17
#N/A,15
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,20
#N/A,21
16926,15
16926,16
16926,17
14303,15
14303,22
14303,23
14303,24
14303,25
28890,16
27961,16
26019,16
17064,16
23124,16
15168,16
11809,16
16926,16
17108,16
17329,16
17329,17
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,20
#N/A,21
#N/A,22
#N/A,23
#N/A,24
#N/A,16
#N/A,17
#N/A,18
#N/A,19
#N/A,20
#N/A,21
#N/A,22
#N/A,23
#N/A,24
#N/A,25
19374,16
19374,18
19374,19
19374,21
19374,22
19374,23
19374,24
19374,25
19374,26
15567,16
15567,19
15567,22
15567,24
15907,17
15907,17
15907,18
15705,17
15705,18
14720,17
14720,18
14720,19
14720,20
10974,18
22370,18
17064,18
18060,18
17108,18
20766,18
12871,18
12871,19
12871,21
26019,18
26019,19
26019,22
26019,25
7959,18
7959,19
7959,20
15488,18
15488,19
15488,20
15488,21
23553,18
23553,19
23553,20
23553,21
15090,18
15090,19
15090,20
15090,21
15090,22
16993,18
16993,19
16993,20
16993,21
16993,22
16993,23
16993,24
16993,25
16438,18
16438,19
16438,20
16438,21
16438,22
16438,23
16438,24
16438,25
16438,26
16438,27
16438,28
16438,29
16438,30
14028,18
14028,25
19748,19
19369,19
15488,19
14354,19
14354,20
12945,19
12945,20
12945,22
13144,19
13144,20
13144,23
19963,19
19963,20
19963,21
19963,22
19963,23
19963,25
#N/A,19
#N/A,20
#N/A,21
#N/A,22
#N/A,23
#N/A,25
#N/A,26
#N/A,27
#N/A,28
#N/A,29
#N/A,30
#N/A,31
#N/A,32
#N/A,33
15567,19
15567,20
15567,21
15567,22
15567,23
15567,24
15567,28
23527,19
23527,21
23527,22
23527,23
23527,24
17064,19
17064,21
17064,22
17064,23
17064,24
17064,25
15609,19
15609,21
15609,22
15609,23
15609,24
15609,25
15609,27
16926,20
16926,20
16926,21
12446,20
12446,21
12446,22
14395,20
14395,25
15218,21
13631,21
14303,21
27961,21
27961,22
27961,23
0,21
0,22
0,23
0,24
14886,21
14886,22
14886,23
14886,24
14303,21
14303,22
14303,23
14303,24
14303,25
15975,21
15975,22
15975,23
15975,24
15975,25
15249,21
15249,22
15249,23
15249,24
15249,25
15898,21
15898,22
15898,23
15898,24
15898,25
15898,26
15898,27
15898,29
16116,21
16116,22
16116,23
16116,24
16116,25
16116,26
16116,27
16116,28
16116,29
#N/A,21
#N/A,22
#N/A,23
#N/A,24
#N/A,25
#N/A,26
#N/A,27
#N/A,28
#N/A,29
#N/A,30
#N/A,31
14493,21
14493,22
14493,23
14493,24
14493,25
14493,26
14493,27
14493,28
14493,29
14493,30
14493,31
16926,22
15907,22
15914,22
0,22
13470,22
13470,23
15823,22
15823,23
16218,22
16218,23
26019,22
26019,23
22370,22
22370,23
22370,24
15334,22
15334,23
15334,24
15334,25
#N/A,22
#N/A,23
#N/A,24
#N/A,25
#N/A,26
#N/A,27
#N/A,28
#N/A,29
#N/A,30
#N/A,33
#N/A,34
#N/A,35
#N/A,36
15416,22
15416,24
15416,25
15416,26
16993,22
16993,24
16993,25
16993,26
16993,27
16993,28
16993,29
16993,30
16993,31
16993,32
16993,33
16993,34
27999,22
27999,25
27999,26
0,23
16065,23
16065,24
16065,26
15443,23
15443,24
15443,25
15443,26
15443,27
15443,28
15776,23
15776,24
15776,25
15776,26
15776,27
15776,28
15776,29
15776,30
#N/A,23
#N/A,24
#N/A,25
#N/A,26
#N/A,27
#N/A,28
#N/A,29
#N/A,30
#N/A,31
15443,23
15443,24
15443,25
15443,26
15443,27
15443,28
15443,29
15443,30
15443,31
0,23
0,25
0,26
15784,23
15784,25
15784,26
15784,28
29490,23
29490,25
29490,26
29490,27
29490,28
29490,29
29490,30
29490,31
13531,24
12446,24
10639,24
17565,24
18060,24
18060,25
17454,24
17454,25
26019,24
26019,25
26019,28
24056,24
24056,25
24056,26
#N/A,24
#N/A,25
#N/A,26
#N/A,27
#N/A,28
#N/A,29
#N/A,30
17075,24
17075,25
17075,26
17075,27
17075,28
17075,29
17075,30
17075,31
17075,33
16926,24
16926,25
16926,26
16926,27
16926,28
16926,29
16926,30
16926,31
16926,32
16926,33
16926,34
16926,36
0,25
13881,25
15923,25
17840,25
0,25
16337,25
15991,25
16926,25
16926,26
16993,25
16993,26
16993,28
16993,29
16993,30
16993,31
16993,32
15061,25
15061,26
15061,27
22370,25
22370,26
22370,27
17401,25
17401,26
17401,27
17401,28
18060,25
18060,26
18060,27
18060,28
17401,25
17401,26
17401,27
17401,28
18629,25
18629,26
18629,27
18629,28
18629,29
18629,30
13830,25
13830,26
13830,27
13830,28
13830,29
13830,30
13830,31
26032,25
26032,26
26032,27
26032,28
26032,29
26032,30
26032,31
26032,32
26032,33
26032,34
26032,35
26032,36
26032,37
15705,25
15705,27
15705,28
18340,25
18340,27
18340,28
15548,25
15548,28
15730,26
17576,26
16871,26
19374,26
17371,26
15705,26
19748,26
17879,26
17329,26
17329,27
16879,26
16879,27
16758,26
16758,27
17148,26
17148,27
17148,28
16755,26
16755,27
16755,28
16755,29
15730,26
15730,27
15730,28
15730,29
17776,26
17776,27
17776,28
17776,29
17776,31
#N/A,26
#N/A,27
#N/A,28
#N/A,29
#N/A,30
#N/A,31
#N/A,32
#N/A,34
#N/A,36
#N/A,37
17064,26
17064,28
17064,32
17064,33
18256,27
16754,27
0,27
16181,27
25192,27
24403,27
17229,27
17009,27
14607,27
14607,28
18021,27
18021,28
19418,27
19418,28
17349,27
17349,28
18354,27
18354,28
17857,27
17857,28
18785,27
18785,28
27961,27
27961,28
27961,30
17696,27
17696,29
29490,27
29490,29
17009,27
17009,28
17009,28
17009,32
17009,33
16297,27
16297,29
17696,28
17670,28
17064,28
17296,28
14639,28
25206,28
25206,29
19256,28
19256,29
19503,28
19503,29
18331,28
18331,29
20146,28
20146,29
20146,31
20146,33
29490,28
29490,29
29490,30
29490,32
29490,33
29490,34
29490,35
29490,36
29490,37
0,28
0,29
0,30
0,31
0,32
18281,28
18281,29
18281,30
18281,31
18281,32
18281,33
19247,28
19247,29
19247,30
19247,31
19247,32
19247,33
19247,34
19247,41
19831,28
19831,29
19831,30
19831,31
19831,32
19831,33
19831,34
19831,35
19831,36
19831,37
19831,38
19831,39
19831,40
19831,41
19831,42
19831,43
19831,44
28890,28
28890,32
16856,29
#N/A,29
19369,29
18749,29
18749,30
18749,31
18749,33
19963,29
19963,30
19963,31
19963,32
19963,33
19079,29
19079,30
19079,31
19079,32
19079,33
#N/A,29
#N/A,30
#N/A,31
#N/A,32
#N/A,33
#N/A,34
#N/A,35
#N/A,36
#N/A,37
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
#N/A,29
#N/A,30
#N/A,31
#N/A,32
#N/A,33
#N/A,34
#N/A,35
#N/A,36
#N/A,37
#N/A,38
#N/A,39
#N/A,40
#N/A,41
#N/A,42
24056,29
24056,31
24056,32
24056,33
24056,34
24056,35
24056,36
24056,37
24056,38
24056,39
24056,40
20822,29
20822,32
18281,30
29490,30
27842,30
27842,31
27842,32
26849,30
26849,31
26849,32
26849,33
26849,43
21270,30
21270,31
21270,32
21270,33
21270,34
21270,35
21270,36
21270,37
27117,30
27117,31
27117,32
27117,33
27117,34
27117,35
27117,36
27117,37
26019,31
18930,31
19043,31
0,31
20545,31
20545,32
#N/A,31
#N/A,32
#N/A,33
#N/A,34
#N/A,35
#N/A,36
#N/A,37
#N/A,38
#N/A,39
#N/A,40
#N/A,41
#N/A,42
