1,Farina,ITA,Alfa Romeo,30,1950
2,Fangio,ARG,Alfa Romeo,27,1950
3,Fagioli,ITA,Alfa Romeo,24,1950
4,Rosier,FRA,Talbot-Lago,13,1950
5,Ascari,ITA,Ferrari,11,1950
6,Parsons,USA,Kurtis Kraft Offenhauser,9,1950
7,Holland,USA,Deidt Offenhauser,6,1950
8,Bira,THA,Maserati,5,1950
9,Parnell,GBR,Maserati,4,1950
9,Chiron,MON,Maserati,4,1950
9,Rose,USA,Deidt Offenhauser,4,1950
9,Whitehead,GBR,Ferrari,4,1950
13,Cabantous,FRA,Talbot-Lago,3,1950
13,Sommer,FRA,Talbot-Lago,3,1950
13,Green,USA,Kurtis Kraft Offenhauser,3,1950
13,Manzon,FRA,Simca-Gordini,3,1950
13,Serafini,ITA,null,3,1950
13,Etancelin,FRA,null,3,1950
19,Bonetto,ITA,Maserati Milano,2,1950
20,Bettenhausen,USA,Deidt Offenhauser,1,1950
20,Chitwood,USA,Kurtis Kraft Offenhauser,1,1950
20,Chaboud,FRA,null,1,1950
