South Africa,Surtees,McLaren Ford,01:20.8,1970
Spain,Brabham,Brabham Ford,01:24.3,1970
Monaco,Rindt,Lotus Ford,01:23.2,1970
Belgium,Amon,March Ford,03:27.4,1970
Netherlands,Ickx,Ferrari,01:19.2,1970
France,Brabham,Brabham Ford,03:00.8,1970
Great Britain,Brabham,Brabham Ford,01:25.9,1970
Germany,Ickx,Ferrari,02:00.5,1970
Austria,Ickx,Ferrari,01:40.4,1970
Italy,Regazzoni,Ferrari,01:25.2,1970
Canada,Regazzoni,Ferrari,01:32.2,1970
United States,Ickx,Ferrari,01:02.7,1970
Mexico,Ickx,Ferrari,01:43.1,1970
