Brazil,Patrese,Williams Renault,01:32.5,1989
San Marino,Prost,McLaren Honda,01:26.8,1989
Monaco,Prost,McLaren Honda,01:25.5,1989
Mexico,Mansell,Ferrari,01:20.4,1989
United States,Senna,McLaren Honda,01:34.0,1989
Canada,Palmer,Tyrrell Ford,01:31.9,1989
France,Gugelmin,March Judd,01:12.1,1989
Great Britain,Mansell,Ferrari,01:12.0,1989
Germany,Senna,McLaren Honda,01:45.9,1989
Hungary,Mansell,Ferrari,01:22.6,1989
Belgium,Prost,McLaren Honda,02:11.6,1989
Italy,Prost,McLaren Honda,01:28.1,1989
Portugal,Berger,Ferrari,01:19.0,1989
Spain,Senna,McLaren Honda,01:25.8,1989
Japan,Prost,McLaren Honda,01:43.5,1989
Australia,Nakajima,Lotus Judd,01:38.5,1989
