Bahrain,Rosberg,Williams Cosworth,01:32.4,2006
Malaysia,Alonso,Renault,01:34.8,2006
Australia,Räikkönen,McLaren Mercedes,01:26.0,2006
San Marino,Alonso,Renault,01:24.6,2006
Europe,Schumacher,Ferrari,01:32.1,2006
Spain,Massa,Ferrari,01:16.6,2006
Monaco,Schumacher,Ferrari,01:15.1,2006
Great Britain,Alonso,Renault,01:21.6,2006
Canada,Räikkönen,McLaren Mercedes,01:15.8,2006
United States,Schumacher,Ferrari,01:12.7,2006
France,Schumacher,Ferrari,01:17.1,2006
Germany,Schumacher,Ferrari,01:16.4,2006
Hungary,Massa,Ferrari,01:23.5,2006
Turkey,Schumacher,Ferrari,01:28.0,2006
Italy,Räikkönen,McLaren Mercedes,01:22.6,2006
China,Alonso,Renault,01:37.6,2006
Japan,Alonso,Renault,01:32.7,2006
Brazil,Schumacher,Ferrari,01:12.2,2006
