Australia,Hamilton,Mercedes,01:30.9,2015
Malaysia,Rosberg,Mercedes,01:42.1,2015
China,Hamilton,Mercedes,01:42.2,2015
Bahrain,Räikkönen,Ferrari,01:36.3,2015
Spain,Hamilton,Mercedes,01:28.3,2015
Monaco,Ricciardo,Red Bull Racing Renault,01:18.1,2015
Canada,Räikkönen,Ferrari,01:17.0,2015
Austria,Rosberg,Mercedes,01:11.2,2015
Great Britain,Hamilton,Mercedes,01:37.1,2015
Hungary,Ricciardo,Red Bull Racing Renault,01:24.8,2015
Belgium,Rosberg,Mercedes,01:52.4,2015
Italy,Hamilton,Mercedes,01:26.7,2015
Singapore,Ricciardo,Red Bull Racing Renault,01:50.0,2015
Japan,Hamilton,Mercedes,01:36.1,2015
Russia,Vettel,Ferrari,01:40.1,2015
United States,Rosberg,Mercedes,01:40.7,2015
Mexico,Rosberg,Mercedes,01:20.5,2015
Brazil,Hamilton,Mercedes,01:14.8,2015
Abu Dhabi,Hamilton,Mercedes,01:44.5,2015
