Farina, Alfa Romeo, 01:50.6, 1950
Fangio, Alfa Romeo, 01:51.0, 1950
Parsons, Kurtis Kraft Offenhauser, , 1950
Farina, Alfa Romeo, 02:41.6, 1950
Farina, Alfa Romeo, 04:34.1, 1950
Fangio, Alfa Romeo, 02:35.6, 1950
Fangio, Alfa Romeo, 02:00.0, 1950
Switzerland, Fangio, Alfa Romeo, 02:51.1, 1951
Indianapolis 500, Wallard, Kurtis Kraft Offenhauser, 01:07.3, 1951
Belgium, Fangio, Alfa Romeo, 04:22.1, 1951
France, Fangio, Alfa Romeo, 02:27.8, 1951
Great Britain, Farina, Alfa Romeo, 01:44.0, 1951
Germany, Fangio, Alfa Romeo, 09:55.8, 1951
Italy, Farina, Alfa Romeo, 01:56.5, 1951
Spain, Fangio, Alfa Romeo, 02:16.9, 1951
Switzerland, Taruffi, Ferrari, 02:49.1, 1952
Indianapolis 500, Vukovich, Kurtis Kraft Offenhauser, 01:06.6, 1952
Belgium, Ascari, Ferrari, 04:55.0, 1952
France, Ascari, Ferrari, 02:17.3, 1952
Great Britain, Ascari, Ferrari, 01:52.0, 1952
Germany, Ascari, Ferrari, 10:05.1, 1952
Netherlands, Ascari, Ferrari, 01:49.8, 1952
Italy, Ascari, Ferrari, 02:06.1, 1952
Argentina, Ascari, Ferrari, 01:48.4, 1953
Indianapolis 500, Vukovich, Kurtis Kraft Offenhauser, 01:06.2, 1953
Netherlands, Villoresi, Ferrari, 01:52.8, 1953
Belgium, Gonzalez, Maserati, 04:34.0, 1953
France, Fangio, Maserati, 02:41.1, 1953
Great Britain, Ascari, Ferrari, 01:50.0, 1953
Germany, Ascari, Ferrari, 09:56.0, 1953
Switzerland, Ascari, Ferrari, 02:41.3, 1953
Italy, Fangio, Maserati, 02:04.5, 1953
Argentina, Gonzalez, Ferrari, 01:48.2, 1954
Indianapolis 500, McGrath, Kurtis Kraft Offenhauser, 01:04.0, 1954
Belgium, Fangio, Maserati, 04:25.5, 1954
France, Herrmann, Mercedes-Benz, 02:32.9, 1954
Great Britain, Ascari, Maserati, 01:50.0, 1954
Germany, Kling, Mercedes-Benz, 09:55.1, 1954
Switzerland, Fangio, Mercedes-Benz, 02:39.7, 1954
Italy, Gonzalez, Ferrari, 02:00.8, 1954
Spain, Ascari, Lancia, 02:20.4, 1954
Argentina, Fangio, Mercedes-Benz, 01:48.3, 1955
Monaco, Fangio, Mercedes-Benz, 01:42.4, 1955
Indianapolis 500, Vukovich, Kurtis Kraft Offenhauser, 01:03.7, 1955
Belgium, Fangio, Mercedes-Benz, 04:20.6, 1955
Netherlands, Mieres, Maserati, 01:40.9, 1955
Great Britain, Moss, Mercedes-Benz, 02:00.4, 1955
Italy, Moss, Mercedes-Benz, 02:46.9, 1955
Argentina, Fangio, Ferrari, 01:45.3, 1956
Monaco, Fangio, Ferrari, 01:44.4, 1956
Indianapolis 500, Russo, Kurtis Kraft Novi, 01:02.3, 1956
Belgium, Moss, Maserati, 04:14.7, 1956
France, Fangio, Ferrari, 02:25.8, 1956
Great Britain, Moss, Maserati, 01:43.2, 1956
Germany, Fangio, Ferrari, 09:41.6, 1956
Italy, Moss, Maserati, 02:45.5, 1956
Argentina, Moss, Maserati, 01:44.7, 1957
Monaco, Fangio, Maserati, 01:45.6, 1957
Indianapolis 500, Rathmann, Epperly Offenhauser, 01:02.8, 1957
