Great Britain, 13-May-50, Farina, Alfa Romeo, 70, 1950
Monaco, 21-May-50, Fangio, Alfa Romeo, 100, 1950
Indianapolis 500, 30-May-50, Parsons, Kurtis Kraft Offenhauser, 138, 1950
Switzerland, 4-Jun-50, Farina, Alfa Romeo, 42, 1950
Belgium, 18-Jun-50, Fangio, Alfa Romeo, 35, 1950
France, 2-Jul-50, Fangio, Alfa Romeo, 64, 1950
Italy, 3-Sep-50, Farina, Alfa Romeo, 80, 1950
Switzerland, 27-May-51, Fangio, Alfa Romeo, 42, 1951
Indianapolis 500, 30-May-51, Wallard, Kurtis Kraft Offenhauser, 200, 1951
Belgium, 17-Jun-51, Farina, Alfa Romeo, 36, 1951
France, 1-Jul-51, Fangio, Alfa Romeo, 77, 1951
France, 1-Jul-51, Fagioli, Alfa Romeo, null, 1951
Great Britain, 14-Jul-51, Gonzalez, Ferrari, 90, 1951
Germany, 29-Jul-51, Ascari, Ferrari, 20, 1951
Italy, 16-Sep-51, Ascari, Ferrari, 80, 1951
Spain, 28-Oct-51, Fangio, Alfa Romeo, 70, 1951
Switzerland, 18-May-52, Taruffi, Ferrari, 62, 1952
Indianapolis 500, 30-May-52, Ruttman, Kuzma Offenhauser, 200, 1952
Belgium, 22-Jun-52, Ascari, Ferrari, 36, 1952
France, 6-Jul-52, Ascari, Ferrari, 77, 1952
Great Britain, 19-Jul-52, Ascari, Ferrari, 85, 1952
Germany, 3-Aug-52, Ascari, Ferrari, 18, 1952
Netherlands, 17-Aug-52, Ascari, Ferrari, 90, 1952
Italy, 7-Sep-52, Ascari, Ferrari, 80, 1952
Argentina, 18-Jan-53, Ascari, Ferrari, 97, 1953
Indianapolis 500, 30-May-53, Vukovich, Kurtis Kraft Offenhauser, 200, 1953
Netherlands, 7-Jun-53, Ascari, Ferrari, 90, 1953
Belgium, 21-Jun-53, Ascari, Ferrari, 36, 1953
France, 5-Jul-53, Hawthorn, Ferrari, 60, 1953
Great Britain, 18-Jul-53, Ascari, Ferrari, 90, 1953
Germany, 2-Aug-53, Farina, Ferrari, 18, 1953
Switzerland, 23-Aug-53, Ascari, Ferrari, 65, 1953
Italy, 13-Sep-53, Fangio, Maserati, 80, 1953
Argentina, 17-Jan-54, Fangio, Maserati, 87, 1954
