South Africa,2-Jan-67,Rodriguez,Cooper Maserati,80,1967
Monaco,7-May-67,Hulme,Brabham Repco,100,1967
Netherlands,4-Jun-67,Clark,Lotus Ford,90,1967
Belgium,18-Jun-67,Gurney,Eagle Weslake,28,1967
France,2-Jul-67,Brabham,Brabham Repco,80,1967
Great Britain,15-Jul-67,Clark,Lotus Ford,80,1967
Germany,6-Aug-67,Hulme,Brabham Repco,15,1967
Canada,27-Aug-67,Brabham,Brabham Repco,90,1967
Italy,10-Sep-67,Surtees,Honda,68,1967
United States,1-Oct-67,Clark,Lotus Ford,108,1967
Mexico,22-Oct-67,Clark,Lotus Ford,65,1967
