South Africa,7-Mar-70,Brabham,Brabham Ford,80,1970
Spain,19-Apr-70,Stewart,March Ford,90,1970
Monaco,10-May-70,Rindt,Lotus Ford,80,1970
Belgium,7-Jun-70,Rodriguez,BRM,28,1970
Netherlands,21-Jun-70,Rindt,Lotus Ford,80,1970
France,5-Jul-70,Rindt,Lotus Ford,38,1970
Great Britain,18-Jul-70,Rindt,Lotus Ford,80,1970
Germany,2-Aug-70,Rindt,Lotus Ford,50,1970
Austria,16-Aug-70,Ickx,Ferrari,60,1970
Italy,6-Sep-70,Regazzoni,Ferrari,68,1970
Canada,20-Sep-70,Ickx,Ferrari,90,1970
United States,4-Oct-70,Fittipaldi,Lotus Ford,108,1970
Mexico,25-Oct-70,Ickx,Ferrari,65,1970
