Argentina,21-Jan-79,Laffite,Ligier Ford,53,1979
Brazil,4-Feb-79,Laffite,Ligier Ford,40,1979
South Africa,3-Mar-79,Villeneuve,Ferrari,78,1979
USA West,8-Apr-79,Villeneuve,Ferrari,80,1979
Spain,29-Apr-79,Depailler,Ligier Ford,75,1979
Belgium,13-May-79,Scheckter,Ferrari,70,1979
Monaco,27-May-79,Scheckter,Ferrari,76,1979
France,1-Jul-79,Jabouille,Renault,80,1979
Great Britain,14-Jul-79,Regazzoni,Williams Ford,68,1979
Germany,29-Jul-79,Jones,Williams Ford,45,1979
Austria,12-Aug-79,Jones,Williams Ford,54,1979
Netherlands,26-Aug-79,Jones,Williams Ford,75,1979
Italy,9-Sep-79,Scheckter,Ferrari,50,1979
Canada,30-Sep-79,Jones,Williams Ford,72,1979
USA East,7-Oct-79,Villeneuve,Ferrari,59,1979
