Australia,17-Mar-13,Räikkönen,Lotus Renault,58,2013
Malaysia,24-Mar-13,Vettel,Red Bull Racing Renault,56,2013
China,14-Apr-13,Alonso,Ferrari,56,2013
Bahrain,21-Apr-13,Vettel,Red Bull Racing Renault,57,2013
Spain,12-May-13,Alonso,Ferrari,66,2013
Monaco,26-May-13,Rosberg,Mercedes,78,2013
Canada,9-Jun-13,Vettel,Red Bull Racing Renault,70,2013
Great Britain,30-Jun-13,Rosberg,Mercedes,52,2013
Germany,7-Jul-13,Vettel,Red Bull Racing Renault,60,2013
Hungary,28-Jul-13,Hamilton,Mercedes,70,2013
Belgium,25-Aug-13,Vettel,Red Bull Racing Renault,44,2013
Italy,8-Sep-13,Vettel,Red Bull Racing Renault,53,2013
Singapore,22-Sep-13,Vettel,Red Bull Racing Renault,61,2013
South Korea,6-Oct-13,Vettel,Red Bull Racing Renault,55,2013
Japan,13-Oct-13,Vettel,Red Bull Racing Renault,53,2013
India,27-Oct-13,Vettel,Red Bull Racing Renault,60,2013
Abu Dhabi,3-Nov-13,Vettel,Red Bull Racing Renault,55,2013
United States,17-Nov-13,Vettel,Red Bull Racing Renault,56,2013
Brazil,24-Nov-13,Vettel,Red Bull Racing Renault,71,2013
