circuit_key,circuit_short_name,country_code,country_key,country_name,date_start,gmt_offset,location,meeting_code,meeting_key,meeting_name,meeting_official_name,year
63,Sakhir,BRN,36,Bahrain,2023-02-23 07:00:00,03:00:00,Sakhir,,1140,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2023,2023
63,Sakhir,BRN,36,Bahrain,2023-03-03 11:30:00,03:00:00,Sakhir,,1141,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-17 13:30:00,03:00:00,Jeddah,,1142,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,2023
10,Melbourne,AUS,5,Australia,2023-03-31 01:30:00,11:00:00,Melbourne,,1143,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,2023
144,Baku,AZE,30,Azerbaijan,2023-04-28 09:30:00,04:00:00,Baku,,1207,Azerbaijan Grand Prix,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,2023
151,Miami,USA,19,United States,2023-05-05 18:00:00,-04:00:00,Miami,,1208,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,2023
22,Monte Carlo,MON,114,Monaco,2023-05-26 11:30:00,02:00:00,Monaco,,1210,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2023,2023
15,Catalunya,ESP,1,Spain,2023-06-02 11:30:00,02:00:00,Barcelona,,1211,Spanish Grand Prix,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,2023
23,Montreal,CAN,46,Canada,2023-06-16 17:30:00,-04:00:00,Montréal,,1212,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,2023
19,Spielberg,AUT,17,Austria,2023-06-30 15:00:00,02:00:00,Spielberg,AUT,1213,Austrian Grand Prix,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,2023
2,Silverstone,GBR,2,Great Britain,2023-07-07 11:30:00,01:00:00,Silverstone,,1214,British Grand Prix,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,2023
4,Hungaroring,HUN,14,Hungary,2023-07-21 11:30:00,02:00:00,Budapest,,1215,Hungarian Grand Prix,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,2023
7,Spa-Francorchamps,BEL,16,Belgium,2023-07-28 11:30:00,02:00:00,Spa-Francorchamps,,1216,Belgian Grand Prix,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,2023
55,Zandvoort,NED,133,Netherlands,2023-08-25 10:30:00,02:00:00,Zandvoort,,1217,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,2023
39,Monza,ITA,13,Italy,2023-09-01 11:30:00,02:00:00,Monza,,1218,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023,2023
61,Singapore,SGP,157,Singapore,2023-09-15 09:30:00,08:00:00,Marina Bay,,1219,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023,2023
46,Suzuka,JPN,4,Japan,2023-09-22 02:30:00,09:00:00,Suzuka,,1220,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023,2023
150,Lusail,QAT,149,Qatar,2023-10-06 13:30:00,03:00:00,Lusail,,1221,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,2023
9,Austin,USA,19,United States,2023-10-20 17:30:00,-05:00:00,Austin,,1222,United States Grand Prix,FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,2023
65,Mexico City,MEX,8,Mexico,2023-10-27 18:30:00,-06:00:00,Mexico City,,1223,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,2023
14,Interlagos,BRA,10,Brazil,2023-11-03 14:30:00,-03:00:00,São Paulo,,1224,São Paulo Grand Prix,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,2023
152,Las Vegas,USA,19,United States,2023-11-17 04:30:00,-08:00:00,Las Vegas,,1225,Las Vegas Grand Prix,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,2023
70,Yas Marina Circuit,UAE,21,United Arab Emirates,2023-11-24 09:30:00,04:00:00,Yas Island,,1226,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023,2023
63,Sakhir,BRN,36,Bahrain,2024-02-29 11:30:00,03:00:00,Sakhir,BRN,1229,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-07 13:30:00,03:00:00,Jeddah,KSA,1230,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,2024
10,Melbourne,AUS,5,Australia,2024-03-22 01:30:00,11:00:00,Melbourne,AUS,1231,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,2024
