date,driver_number,lap_number,meeting_key,pit_duration,session_key
2023-06-02 11:33:46.930000,14,3,1211,35.3,9095
2023-06-02 11:35:42.475000,18,4,1211,40.8,9095
2023-06-02 11:36:30.849000,21,3,1211,155.2,9095
2023-06-02 11:37:01.583000,2,2,1211,277.0,9095
2023-06-02 11:37:14.911000,16,5,1211,27.6,9095
2023-06-02 11:38:29.675000,81,2,1211,343.6,9095
2023-06-02 11:38:45.487000,11,6,1211,24.9,9095
2023-06-02 11:38:52.971000,20,6,1211,47.4,9095
2023-06-02 11:39:12.221000,4,2,1211,381.5,9095
2023-06-02 11:39:27.565000,1,6,1211,23.5,9095
2023-06-02 11:40:30.892000,27,6,1211,40.8,9095
2023-06-02 11:42:01.109000,77,3,1211,517.4,9095
2023-06-02 11:42:31.499000,18,5,1211,298.0,9095
2023-06-02 11:44:30.700000,23,9,1211,25.1,9095
2023-06-02 11:44:35.747000,24,3,1211,623.1,9095
2023-06-02 11:45:19.886000,22,8,1211,245.8,9095
2023-06-02 11:46:04.573000,16,11,1211,23.1,9095
2023-06-02 11:46:46.322000,55,12,1211,23.0,9095
2023-06-02 11:47:17.353000,21,5,1211,439.9,9095
2023-06-02 11:47:42.243000,2,9,1211,24.9,9095
2023-06-02 11:48:07.633000,4,3,1211,442.9,9095
2023-06-02 11:48:09.118000,18,8,1211,37.9,9095
2023-06-02 11:48:16.852000,63,9,1211,381.4,9095
2023-06-02 11:48:30.789000,81,3,1211,493.4,9095
2023-06-02 11:49:32.132000,44,9,1211,406.5,9095
2023-06-02 11:50:06.022000,14,6,1211,691.0,9095
2023-06-02 11:50:55.709000,10,8,1211,621.4,9095
2023-06-02 11:51:06.771000,31,10,1211,357.9,9095
2023-06-02 11:52:23.176000,21,8,1211,31.1,9095
2023-06-02 11:53:37.034000,18,11,1211,34.1,9095
2023-06-02 11:54:55.704000,16,16,1211,16.7,9095
2023-06-02 11:57:15.577000,11,13,1211,432.8,9095
2023-06-02 11:58:09.107000,1,12,1211,525.5,9095
2023-06-02 11:58:39.294000,18,12,1211,189.2,9095
2023-06-02 11:59:17.465000,20,11,1211,796.1,9095
2023-06-02 12:00:14.823000,27,11,1211,750.0,9095
2023-06-02 12:03:58.460000,22,13,1211,657.3,9095
2023-06-02 12:04:07.147000,63,17,1211,268.9,9095
2023-06-02 12:05:15.099000,23,16,1211,578.4,9095
2023-06-02 12:06:24.301000,44,17,1211,333.2,9095
2023-06-02 12:07:19.597000,2,16,1211,544.3,9095
2023-06-02 12:07:29.378000,77,12,1211,702.5,9095
2023-06-02 12:07:32.425000,24,14,1211,376.1,9095
2023-06-02 12:09:03.970000,1,15,1211,387.1,9095
2023-06-02 12:09:09.782000,81,10,1211,575.4,9095
2023-06-02 12:10:35.718000,23,19,1211,26.8,9095
2023-06-02 12:10:47.171000,4,10,1211,675.0,9095
2023-06-02 12:11:24.014000,55,17,1211,999.9,9095
2023-06-02 12:12:49.669000,24,17,1211,18.0,9095
2023-06-02 12:13:11.684000,16,19,1211,797.7,9095
2023-06-02 12:13:16.247000,18,13,1211,762.2,9095
2023-06-02 12:13:47.074000,11,19,1211,427.8,9095
2023-06-02 12:13:50.949000,21,15,1211,649.6,9095
2023-06-02 12:17:24.445000,81,15,1211,22.3,9095
2023-06-02 12:18:09.913000,31,19,1211,714.0,9095
2023-06-02 12:18:33.444000,10,18,1211,719.2,9095
2023-06-02 12:18:51.600000,27,18,1211,426.2,9095
2023-06-02 12:18:54.272000,22,19,1211,315.9,9095
2023-06-02 12:19:07.397000,63,24,1211,341.2,9095
2023-06-02 12:19:17.850000,4,15,1211,24.9,9095
2023-06-02 12:21:20.441000,2,22,1211,268.7,9095
2023-06-02 12:21:26.207000,18,18,1211,41.2,9095
2023-06-02 12:21:40.738000,14,18,1211,801.3,9095
2023-06-02 12:23:01.221000,20,17,1211,803.8,9095
2023-06-02 12:23:11.736000,23,22,1211,455.6,9095
2023-06-02 12:23:33.626000,55,21,1211,354.0,9095
2023-06-02 12:23:35.657000,44,24,1211,429.5,9095
2023-06-02 12:23:42.314000,77,18,1211,389.2,9095
2023-06-02 12:23:54.001000,10,21,1211,16.6,9095
2023-06-02 12:24:19.438000,63,27,1211,24.9,9095
2023-06-02 12:24:50.859000,21,22,1211,19.9,9095
2023-06-02 12:25:08.031000,16,23,1211,331.4,9095
2023-06-02 12:25:39.561000,24,20,1211,469.5,9095
2023-06-02 12:28:37.699000,1,29,1211,22.7,9095
2023-06-02 12:29:31.417000,11,30,1211,21.8,9095
2023-06-02 12:29:36.635000,63,30,1211,30.2,9095
2023-06-02 15:06:59.931000,55,4,1211,21.9,9096
2023-06-02 15:07:15.384000,16,4,1211,17.4,9096
2023-06-02 15:08:13.196000,63,5,1211,22.5,9096
2023-06-02 15:08:47.820000,14,7,1211,22.6,9096
2023-06-02 15:09:27.070000,44,6,1211,23.2,9096
2023-06-02 15:09:34.320000,1,6,1211,27.8,9096
2023-06-02 15:09:59.163000,11,6,1211,25.4,9096
2023-06-02 15:10:20.491000,18,7,1211,22.6,9096
2023-06-02 15:10:55.569000,81,7,1211,22.5,9096
2023-06-02 15:11:43.959000,24,8,1211,17.2,9096
2023-06-02 15:11:50.490000,77,8,1211,19.0,9096
2023-06-02 15:14:49.129000,22,8,1211,192.3,9096
2023-06-02 15:15:18.269000,21,8,1211,307.8,9096
2023-06-02 15:19:00.735000,55,7,1211,391.7,9096
2023-06-02 15:19:14.469000,16,7,1211,407.1,9096
2023-06-02 15:19:50.657000,23,8,1211,433.3,9096
2023-06-02 15:19:59.422000,2,8,1211,476.2,9096
2023-06-02 15:21:50.171000,77,9,1211,484.7,9096
2023-06-02 15:22:07.311000,1,9,1211,463.6,9096
2023-06-02 15:22:23.483000,10,8,1211,621.6,9096
2023-06-02 15:22:28.889000,31,8,1211,636.2,9096
2023-06-02 15:22:54.576000,27,8,1211,616.3,9096
2023-06-02 15:23:10.842000,4,8,1211,597.9,9096
2023-06-02 15:23:13.623000,24,9,1211,589.6,9096
2023-06-02 15:24:54.122000,23,11,1211,16.6,9096
2023-06-02 15:25:09.934000,2,11,1211,16.6,9096
2023-06-02 15:25:25.668000,44,11,1211,512.4,9096
2023-06-02 15:25:31.496000,20,7,1211,874.7,9096
2023-06-02 15:26:26.340000,63,11,1211,538.8,9096
2023-06-02 15:26:39.527000,22,14,1211,129.4,9096
2023-06-02 15:27:06.042000,77,12,1211,19.3,9096
2023-06-02 15:27:08.433000,21,14,1211,187.0,9096
2023-06-02 15:28:06.870000,31,11,1211,16.6,9096
2023-06-02 15:28:10.870000,10,11,1211,16.9,9096
2023-06-02 15:28:22.744000,14,14,1211,520.9,9096
2023-06-02 15:28:39.713000,24,12,1211,18.1,9096
2023-06-02 15:30:47.399000,81,12,1211,741.0,9096
2023-06-02 15:30:54.477000,18,14,1211,568.3,9096
2023-06-02 15:30:57.274000,11,12,1211,691.4,9096
2023-06-02 15:31:08.086000,44,14,1211,30.8,9096
2023-06-02 15:31:12.899000,55,10,1211,450.8,9096
2023-06-02 15:31:47.476000,16,10,1211,467.4,9096
2023-06-02 15:32:18.617000,1,12,1211,343.6,9096
2023-06-02 15:33:46.756000,27,11,1211,351.6,9096
