category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-02-23 07:00:00,,GREEN,,1140,GREEN LIGHT - PIT EXIT OPEN,Track,,9222
Flag,2023-02-23 07:00:00,,GREEN,,1140,GREEN LIGHT - PIT EXIT OPEN,Track,,9222
Flag,2023-02-23 07:08:43,,RED,,1140,RED FLAG,Track,,9222
Flag,2023-02-23 07:08:43,,RED,,1140,RED FLAG,Track,,9222
Other,2023-02-23 07:25:11,,,,1140,SESSION WILL RESUME AT 10:30,,,9222
Other,2023-02-23 07:25:11,,,,1140,SESSION WILL RESUME AT 10:30,,,9222
Flag,2023-02-23 07:25:35,,CLEAR,,1140,TRACK CLEAR,Track,,9222
Flag,2023-02-23 07:25:35,,CLEAR,,1140,TRACK CLEAR,Track,,9222
Drs,2023-02-23 07:25:39,,,,1140,DRS ENABLED,,,9222
Drs,2023-02-23 07:25:39,,,,1140,DRS ENABLED,,,9222
Flag,2023-02-23 07:30:00,,GREEN,,1140,GREEN LIGHT - PIT EXIT OPEN,Track,,9222
Flag,2023-02-23 07:30:00,,GREEN,,1140,GREEN LIGHT - PIT EXIT OPEN,Track,,9222
Flag,2023-02-23 11:00:38,,DOUBLE YELLOW,,1140,DOUBLE YELLOW IN TRACK SECTOR 11,Sector,11,9222
Flag,2023-02-23 11:00:38,,DOUBLE YELLOW,,1140,DOUBLE YELLOW IN TRACK SECTOR 11,Sector,11,9222
Flag,2023-02-23 11:00:47,,YELLOW,,1140,YELLOW IN TRACK SECTOR 10,Sector,10,9222
Flag,2023-02-23 11:00:47,,YELLOW,,1140,YELLOW IN TRACK SECTOR 10,Sector,10,9222
SafetyCar,2023-02-23 11:01:21,,,,1140,VIRTUAL SAFETY CAR DEPLOYED,,,9222
SafetyCar,2023-02-23 11:01:21,,,,1140,VIRTUAL SAFETY CAR DEPLOYED,,,9222
Flag,2023-02-23 11:05:02,,CLEAR,,1140,CLEAR IN TRACK SECTOR 10,Sector,10,9222
Flag,2023-02-23 11:05:02,,CLEAR,,1140,CLEAR IN TRACK SECTOR 10,Sector,10,9222
Flag,2023-02-23 11:05:04,,CLEAR,,1140,CLEAR IN TRACK SECTOR 11,Sector,11,9222
Flag,2023-02-23 11:05:04,,CLEAR,,1140,CLEAR IN TRACK SECTOR 11,Sector,11,9222
SafetyCar,2023-02-23 11:05:14,,,,1140,VIRTUAL SAFETY CAR ENDING,,,9222
SafetyCar,2023-02-23 11:05:14,,,,1140,VIRTUAL SAFETY CAR ENDING,,,9222
Flag,2023-02-23 11:05:29,,CLEAR,,1140,TRACK CLEAR,Track,,9222
Flag,2023-02-23 11:05:29,,CLEAR,,1140,TRACK CLEAR,Track,,9222
Drs,2023-02-23 11:05:31,,,,1140,DRS ENABLED,,,9222
Drs,2023-02-23 11:05:31,,,,1140,DRS ENABLED,,,9222
Flag,2023-02-23 11:15:00,,CHEQUERED,,1140,CHEQUERED FLAG,Track,,9222
Flag,2023-02-23 11:15:00,,CHEQUERED,,1140,CHEQUERED FLAG,Track,,9222
Other,2023-02-23 11:15:11,,,,1140,AIR TEMPERATURE 1 HOUR BEFORE THE SESSION = 30.4 DEGREES,,,9222
Other,2023-02-23 11:15:11,,,,1140,AIR TEMPERATURE 1 HOUR BEFORE THE SESSION = 30.4 DEGREES,,,9222
Flag,2023-02-23 11:24:49,,DOUBLE YELLOW,,1140,DOUBLE YELLOW IN TRACK SECTOR 16,Sector,16,9222
Flag,2023-02-23 11:24:49,,DOUBLE YELLOW,,1140,DOUBLE YELLOW IN TRACK SECTOR 16,Sector,16,9222
Flag,2023-02-23 11:24:51,,YELLOW,,1140,YELLOW IN TRACK SECTOR 15,Sector,15,9222
Flag,2023-02-23 11:24:51,,YELLOW,,1140,YELLOW IN TRACK SECTOR 15,Sector,15,9222
Other,2023-02-23 11:24:56,,,,1140,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,9222
Other,2023-02-23 11:24:56,,,,1140,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,9222
Flag,2023-02-23 11:25:36,,CLEAR,,1140,CLEAR IN TRACK SECTOR 16,Sector,16,9222
Flag,2023-02-23 11:25:36,,CLEAR,,1140,CLEAR IN TRACK SECTOR 16,Sector,16,9222
Flag,2023-02-23 11:25:38,,CLEAR,,1140,CLEAR IN TRACK SECTOR 15,Sector,15,9222
Flag,2023-02-23 11:25:38,,CLEAR,,1140,CLEAR IN TRACK SECTOR 15,Sector,15,9222
Other,2023-02-23 11:25:56,,,,1140,CAR 243 TIME 0:00.000 DELETED - DOUBLE YELLOW,,,9222
Other,2023-02-23 11:25:56,,,,1140,CAR 243 TIME 0:00.000 DELETED - DOUBLE YELLOW,,,9222
Other,2023-02-23 11:26:05,,,,1140,RECOVERY VEHICLE ON TRACK AT TURN 13,,,9222
Other,2023-02-23 11:26:05,,,,1140,RECOVERY VEHICLE ON TRACK AT TURN 13,,,9222
Flag,2023-02-23 11:27:18,,CLEAR,,1140,CLEAR IN TRACK SECTOR 5,Sector,5,9222
Flag,2023-02-23 11:27:18,,CLEAR,,1140,CLEAR IN TRACK SECTOR 5,Sector,5,9222
SafetyCar,2023-02-23 11:27:20,,,,1140,VIRTUAL SAFETY CAR DEPLOYED,,,9222
SafetyCar,2023-02-23 11:27:20,,,,1140,VIRTUAL SAFETY CAR DEPLOYED,,,9222
SafetyCar,2023-02-23 11:27:57,,,,1140,VIRTUAL SAFETY CAR ENDING,,,9222
SafetyCar,2023-02-23 11:27:57,,,,1140,VIRTUAL SAFETY CAR ENDING,,,9222
Flag,2023-02-23 11:28:08,,CLEAR,,1140,TRACK CLEAR,Track,,9222
Flag,2023-02-23 11:28:08,,CLEAR,,1140,TRACK CLEAR,Track,,9222
Drs,2023-02-23 11:28:41,,,,1140,DRS ENABLED,,,9222
Drs,2023-02-23 11:28:41,,,,1140,DRS ENABLED,,,9222
Other,2023-02-23 11:28:43,,,,1140,LOW GRIP CONDITIONS,,,9222
Other,2023-02-23 11:28:43,,,,1140,LOW GRIP CONDITIONS,,,9222
Other,2023-02-23 11:29:09,,,,1140,PIT LANE ENTRY CLOSED,,,9222
Other,2023-02-23 11:29:09,,,,1140,PIT LANE ENTRY CLOSED,,,9222
Other,2023-02-23 11:29:41,,,,1140,BLACK AND WHITE FLAG FOR CAR 246 - TRACK LIMITS,,,9222
Other,2023-02-23 11:29:41,,,,1140,BLACK AND WHITE FLAG FOR CAR 246 - TRACK LIMITS,,,9222
Flag,2023-02-23 11:30:12,,YELLOW,,1140,YELLOW IN TRACK SECTOR 7,Sector,7,9222
Flag,2023-02-23 11:30:12,,YELLOW,,1140,YELLOW IN TRACK SECTOR 7,Sector,7,9222
Flag,2023-02-23 11:30:15,,YELLOW,,1140,YELLOW IN TRACK SECTOR 6,Sector,6,9222
Flag,2023-02-23 11:30:15,,YELLOW,,1140,YELLOW IN TRACK SECTOR 6,Sector,6,9222
Flag,2023-02-23 11:30:24,,DOUBLE YELLOW,,1140,DOUBLE YELLOW IN TRACK SECTOR 17,Sector,17,9222
