nationalityID,nationality
1,American
2,American-Italian
3,Argentine
4,Argentine-Italian
5,Australian
6,Austrian
7,Belgian
8,Brazilian
9,British
10,Canadian
11,Chilean
12,Chinese
13,Colombian
14,Czech
15,Danish
16,Dutch
17,East German
18,Finnish
19,French
20,German
21,Hungarian
22,Indian
23,Indonesian
24,Irish
25,Italian
26,Japanese
27,Liechtensteiner
28,Malaysian
29,Mexican
30,Monegasque
31,New Zealander
32,Polish
33,Portuguese
34,Rhodesian
35,Russian
36,South African
37,Spanish
38,Swedish
39,Swiss
40,Thai
41,Uruguayan
42,Venezuelan
