Circuit,circuitTypeID,circuitDirectionID,Location,Country,LastLengthUsed,GrandsPrix,Season,GrandsPrixHeld
Adelaide Street Circuit,1,1,Adelaide,Australia,3.780 km (2.349 mi),Australian Grand Prix,1985–1995,11
Ain Diab,3,1,Casablanca,Morocco,7.618 km (4.734 mi),Moroccan Grand Prix,1958,1
Aintree,3,1,Aintree,United Kingdom,4.828 km (3.000 mi),British Grand Prix,"1955, 1957, 1959, 1961–1962",5
Albert Park Grand Prix Circuit,1,1,Melbourne,Australia,5.278 km (3.280 mi),Australian Grand Prix,"1996–2019, 2022–2023",26
Autódromo Internacional do Algarve,2,1,Portimão,Portugal,4.653 km (2.891 mi),Portuguese Grand Prix,2020–2021,2
Autódromo do Estoril,2,1,Estoril,Portugal,4.360 km (2.709 mi),Portuguese Grand Prix,1984–1996,13
Autodromo Enzo e Dino Ferrari,2,2,Imola,Italy,4.909 km (3.050 mi),Italian Grand Prix,1980,1
Autodromo Enzo e Dino Ferrari,2,2,Imola,Italy,4.909 km (3.050 mi),San Marino Grand Prix,1981–2006,26
Autodromo Enzo e Dino Ferrari,2,2,Imola,Italy,4.909 km (3.050 mi),Emilia Romagna Grand Prix,2020–2022,3
Autódromo Hermanos Rodríguez,2,1,Mexico City,Mexico,4.304 km (2.674 mi),"Mexican Grand Prix,
Mexico City Grand Prix","1963–1970, 1986–1992, 2015–2019, 2021–2022",22
Autódromo Internacional Nelson Piquet,2,2,Rio de Janeiro,Brazil,5.031 km (3.126 mi),Brazilian Grand Prix,"1978, 1981–1989",10
Autodromo Internazionale del Mugello,2,1,Scarperia e San Piero,Italy,5.245 km (3.259 mi),Tuscan Grand Prix,2020,1
Autódromo José Carlos Pace,2,2,São Paulo,Brazil,4.309 km (2.677 mi),"Brazilian Grand Prix,
São Paulo Grand Prix","1973–1977, 1979–1980, 1990–2019, 2021–2022",39
Autódromo Juan y Oscar Gálvez,2,1,Buenos Aires,Argentina,4.259 km (2.646 mi),Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20
Autodromo Nazionale di Monza,2,1,Monza,Italy,5.793 km (3.600 mi),Italian Grand Prix,"1950–1979, 1981–2022",72
AVUS,3,2,Berlin,Germany,8.300 km (5.157 mi),German Grand Prix,1959,1
Bahrain International Circuit,2,1,Sakhir,Bahrain,5.412 km (3.363 mi),Bahrain Grand Prix,"2004–2010, 2012–2023",19
